IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
23.225.133.92,41698,80,false,HKG,Asia Pacific,Hong Kong,46,0.19
192.151.255.3,41698,80,false,HKG,Asia Pacific,Hong Kong,57,0.18
23.225.133.78,41698,80,false,HKG,Asia Pacific,Hong Kong,55,0.18
192.151.255.17,41698,80,false,HKG,Asia Pacific,Hong Kong,55,0.18
192.151.255.22,41698,443,true,HKG,Asia Pacific,Hong Kong,38,0.18
23.225.133.72,41698,80,false,HKG,Asia Pacific,Hong Kong,64,0.18
23.225.133.70,41698,443,true,HKG,Asia Pacific,Hong Kong,55,0.17
23.225.133.68,41698,80,false,HKG,Asia Pacific,Hong Kong,49,0.17
23.225.133.86,41698,443,true,HKG,Asia Pacific,Hong Kong,62,0.17
23.225.133.65,41698,80,false,HKG,Asia Pacific,Hong Kong,57,0.17
192.151.255.5,41698,80,false,HKG,Asia Pacific,Hong Kong,62,0.16
192.151.255.13,41698,80,false,HKG,Asia Pacific,Hong Kong,63,0.16
192.151.255.27,41698,80,false,HKG,Asia Pacific,Hong Kong,49,0.15
23.224.33.156,10207,443,true,LAX,North America,Los Angeles,242,0.15
23.225.133.74,41698,443,true,HKG,Asia Pacific,Hong Kong,55,0.15
23.225.133.91,41698,443,true,HKG,Asia Pacific,Hong Kong,64,0.15
192.151.255.26,41698,443,true,HKG,Asia Pacific,Hong Kong,63,0.14
192.151.255.28,41698,80,false,HKG,Asia Pacific,Hong Kong,43,0.14
23.225.133.80,41698,443,true,HKG,Asia Pacific,Hong Kong,55,0.14
216.38.168.34,16384,443,true,LAX,North America,Los Angeles,202,0.13
154.88.31.91,30000,443,true,HKG,Asia Pacific,Hong Kong,57,0.13
23.225.133.67,41698,443,true,HKG,Asia Pacific,Hong Kong,57,0.13
192.151.255.16,41698,80,false,HKG,Asia Pacific,Hong Kong,63,0.11
193.9.44.165,57826,443,true,LAX,North America,Los Angeles,143,0.10
192.151.255.7,41698,443,true,HKG,Asia Pacific,Hong Kong,49,0.10
192.151.255.10,41698,80,false,HKG,Asia Pacific,Hong Kong,55,0.09
192.151.255.4,41698,80,false,HKG,Asia Pacific,Hong Kong,57,0.09
23.225.133.73,41698,443,true,HKG,Asia Pacific,Hong Kong,70,0.08
2.59.151.136,22091,443,true,LAX,North America,Los Angeles,187,0.06
23.225.133.71,41698,443,true,HKG,Asia Pacific,Hong Kong,70,0.06
217.20.241.63,27769,443,true,LAX,North America,Los Angeles,191,0.06
103.103.245.205,20018,443,true,HKG,Asia Pacific,Hong Kong,57,0.04
103.99.115.173,443,443,true,LAX,North America,Los Angeles,178,0.00
