IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
156.251.226.106,1111,2086,false,HKG,Asia Pacific,Hong Kong,56,5.46
103.20.223.93,30809,80,false,HKG,Asia Pacific,Hong Kong,41,4.54
103.20.223.60,47488,443,true,HKG,Asia Pacific,Hong Kong,46,4.37
103.20.223.252,60999,80,false,HKG,Asia Pacific,Hong Kong,49,3.82
23.224.33.154,20908,443,true,LAX,North America,Los Angeles,208,2.95
103.20.223.93,30810,80,false,KIX,Asia Pacific,Osaka,46,2.13
193.22.152.253,8890,80,false,LAX,North America,Los Angeles,187,2.04
103.235.18.220,46400,443,true,HKG,Asia Pacific,Hong Kong,42,1.96
103.94.185.7,35586,443,true,LAX,North America,Los Angeles,178,1.92
45.205.3.100,54236,443,true,HKG,Asia Pacific,Hong Kong,43,1.79
156.251.183.241,30810,80,false,KIX,Asia Pacific,Osaka,63,1.77
103.20.222.172,34650,443,true,HKG,Asia Pacific,Hong Kong,41,1.70
193.22.152.98,34237,2096,true,LAX,North America,Los Angeles,178,1.50
202.91.35.223,44070,443,true,LAX,North America,Los Angeles,201,1.39
23.224.97.119,43963,443,true,LAX,North America,Los Angeles,191,1.33
45.12.88.150,1443,443,true,LAX,North America,Los Angeles,190,1.30
103.235.18.220,59677,443,true,HKG,Asia Pacific,Hong Kong,39,1.22
23.224.97.85,32554,443,true,LAX,North America,Los Angeles,190,1.19
185.238.250.168,36545,443,true,LAX,North America,Los Angeles,177,1.18
2.56.255.97,34237,2096,true,LAX,North America,Los Angeles,190,1.03
156.251.183.226,34147,443,true,SIN,Asia Pacific,Singapore,86,0.97
23.224.141.167,26578,443,true,LAX,North America,Los Angeles,161,0.94
23.225.133.76,41698,443,true,HKG,Asia Pacific,Hong Kong,65,0.49
23.224.22.211,80,80,false,LAX,North America,Los Angeles,208,0.47
217.20.241.93,18695,443,true,LAX,North America,Los Angeles,188,0.42
192.151.255.12,41698,443,true,HKG,Asia Pacific,Hong Kong,51,0.32
172.247.15.164,34237,2096,true,LAX,North America,Los Angeles,161,0.32
23.225.133.69,41698,80,false,HKG,Asia Pacific,Hong Kong,57,0.30
23.225.133.66,41698,80,false,HKG,Asia Pacific,Hong Kong,63,0.30
91.217.139.227,8443,443,true,LAX,North America,Los Angeles,218,0.29
192.151.255.0,41698,80,false,HKG,Asia Pacific,Hong Kong,70,0.29
192.151.255.9,41698,80,false,HKG,Asia Pacific,Hong Kong,45,0.28
23.225.133.83,41698,80,false,HKG,Asia Pacific,Hong Kong,70,0.26
23.225.133.75,41698,443,true,HKG,Asia Pacific,Hong Kong,63,0.26
23.225.133.87,41698,80,false,HKG,Asia Pacific,Hong Kong,63,0.25
192.151.255.24,41698,80,false,HKG,Asia Pacific,Hong Kong,51,0.25
192.151.255.30,41698,80,false,HKG,Asia Pacific,Hong Kong,57,0.24
192.151.255.25,41698,80,false,HKG,Asia Pacific,Hong Kong,45,0.24
192.151.255.19,41698,80,false,HKG,Asia Pacific,Hong Kong,57,0.23
192.151.255.20,41698,443,true,HKG,Asia Pacific,Hong Kong,70,0.22
23.225.133.79,41698,443,true,HKG,Asia Pacific,Hong Kong,63,0.22
23.225.133.85,41698,80,false,HKG,Asia Pacific,Hong Kong,57,0.22
23.225.133.94,41698,443,true,HKG,Asia Pacific,Hong Kong,57,0.22
23.225.133.88,41698,80,false,HKG,Asia Pacific,Hong Kong,49,0.21
192.151.255.21,41698,443,true,HKG,Asia Pacific,Hong Kong,62,0.21
192.151.255.15,41698,80,false,HKG,Asia Pacific,Hong Kong,51,0.21
23.225.133.64,41698,80,false,HKG,Asia Pacific,Hong Kong,46,0.20
23.224.22.106,3053,443,true,LAX,North America,Los Angeles,202,0.20
23.225.133.84,41698,80,false,HKG,Asia Pacific,Hong Kong,70,0.20
23.225.133.90,41698,80,false,HKG,Asia Pacific,Hong Kong,49,0.20
192.151.255.18,41698,80,false,HKG,Asia Pacific,Hong Kong,63,0.19
23.225.133.77,41698,80,false,HKG,Asia Pacific,Hong Kong,51,0.19
