IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
37.123.196.145,19004,80,false,HKG,Asia Pacific,Hong Kong,43,3.45
38.59.230.134,42230,443,true,WAW,Europe,Warsaw,177,2.15
185.218.7.217,1443,443,true,SJC,North America,San Jose,167,1.80
38.59.230.134,42210,443,true,WAW,Europe,Warsaw,181,1.74
38.59.242.70,34237,2096,true,SJC,North America,San Jose,152,1.51
185.148.14.99,53106,443,true,SJC,North America,San Jose,163,1.16
38.59.242.249,13629,443,true,SJC,North America,San Jose,138,1.09
37.123.192.227,2004,2053,true,SJC,North America,San Jose,197,1.00
185.217.108.69,16713,443,true,FRA,Europe,Frankfurt,171,0.97
37.123.193.35,5238,443,true,SJC,North America,San Jose,210,0.92
185.148.15.211,13706,443,true,SJC,North America,San Jose,141,0.85
185.218.6.59,36550,443,true,SJC,North America,San Jose,136,0.74
38.59.242.235,34237,2096,true,SJC,North America,San Jose,147,0.73
38.59.241.97,34237,2096,true,SJC,North America,San Jose,157,0.65
185.148.15.103,36773,443,true,SJC,North America,San Jose,134,0.58
38.59.241.39,10000,443,true,SJC,North America,San Jose,151,0.58
38.59.249.192,55000,443,true,SJC,North America,San Jose,144,0.56
37.123.193.163,1234,443,true,SJC,North America,San Jose,195,0.54
37.123.192.227,2003,2053,true,SJC,North America,San Jose,205,0.48
38.59.243.0,27128,443,true,SJC,North America,San Jose,147,0.43
38.59.249.142,20656,443,true,SJC,North America,San Jose,147,0.42
37.123.192.153,2003,2053,true,SJC,North America,San Jose,187,0.35
185.148.13.32,10006,443,true,SJC,North America,San Jose,188,0.32
185.148.15.219,29293,443,true,SJC,North America,San Jose,133,0.30
38.59.249.63,45298,443,true,SJC,North America,San Jose,147,0.27
38.59.243.19,39689,443,true,SJC,North America,San Jose,144,0.20
185.148.15.186,53802,443,true,SJC,North America,San Jose,139,0.18
37.123.197.170,30803,443,true,NRT,Asia Pacific,Tokyo,167,0.16
37.123.192.153,2000,2053,true,SJC,North America,San Jose,182,0.00
