IP地址,端口,回源端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
210.87.202.245,52646,443,true,ICN,Asia Pacific,Seoul,39,3.52
45.93.30.117,39145,443,true,HKG,Asia Pacific,Hong Kong,37,1.29
103.86.44.125,65432,443,true,HKG,Asia Pacific,Hong Kong,97,1.00
45.93.30.117,51557,443,true,ICN,Asia Pacific,Seoul,35,0.93
45.93.30.45,34237,2096,true,ICN,Asia Pacific,Seoul,62,0.54
45.93.30.126,60999,80,false,ICN,Asia Pacific,Seoul,42,0.52
45.154.15.90,34237,2096,true,ICN,Asia Pacific,Seoul,49,0.41
45.93.28.81,17975,443,true,ICN,Asia Pacific,Seoul,35,0.16
61.111.251.245,34237,2096,true,ICN,Asia Pacific,Seoul,35,0.08
45.93.28.68,34237,2096,true,HKG,Asia Pacific,Hong Kong,37,0.02
